Date,Adj Close
3/21/19,54.804001
3/22/19,52.905998
3/25/19,52.084
3/26/19,53.554001
3/27/19,54.966
3/28/19,55.723999
3/29/19,55.972
4/1/19,57.835999
4/2/19,57.175999
4/3/19,58.362
4/4/19,53.556
4/5/19,54.992001
4/8/19,54.639999
4/9/19,54.462002
4/10/19,55.212002
4/11/19,53.683998
4/12/19,53.540001
4/15/19,53.276001
4/16/19,54.672001
4/17/19,54.245998
4/18/19,54.652
4/22/19,52.549999
4/23/19,52.779999
4/24/19,51.731998
4/25/19,49.526001
4/26/19,47.028
4/29/19,48.293999
4/30/19,47.737999
5/1/19,46.801998
5/2/19,48.82
5/3/19,51.006001
5/6/19,51.068001
5/7/19,49.411999
5/8/19,48.967999
5/9/19,48.396
5/10/19,47.903999
5/13/19,45.402
5/14/19,46.462002
5/15/19,46.389999
5/16/19,45.666
5/17/19,42.206001
5/20/19,41.071999
5/21/19,41.015999
5/22/19,38.546001
5/23/19,39.098
5/24/19,38.125999
5/28/19,37.740002
5/29/19,37.972
5/30/19,37.644001
5/31/19,37.032001
6/3/19,35.793999
6/4/19,38.720001
6/5/19,39.318001
6/6/19,41.189999
6/7/19,40.900002
6/10/19,42.576
6/11/19,43.419998
6/12/19,41.852001
6/13/19,42.782001
6/14/19,42.984001
6/17/19,45.006001
6/18/19,44.948002
6/19/19,45.285999
6/20/19,43.924
6/21/19,44.372002
6/24/19,44.728001
6/25/19,43.952
6/26/19,43.854
6/27/19,44.568001
6/28/19,44.692001
7/1/19,45.433998
7/2/19,44.91
7/3/19,46.98
7/5/19,46.619999
7/8/19,46.068001
7/9/19,46.012001
7/10/19,47.784
7/11/19,47.720001
7/12/19,49.015999
7/15/19,50.700001
7/16/19,50.476002
7/17/19,50.972
7/18/19,50.708
7/19/19,51.636002
7/22/19,51.136002
7/23/19,52.034
7/24/19,52.976002
7/25/19,45.764
7/26/19,45.608002
7/29/19,47.153999
7/30/19,48.452
7/31/19,48.321999
8/1/19,46.77
8/2/19,46.868
8/5/19,45.664001
8/6/19,46.150002
8/7/19,46.683998
8/8/19,47.66
8/9/19,47.001999
8/12/19,45.801998
8/13/19,47
8/14/19,43.924
8/15/19,43.127998
8/16/19,43.987999
8/19/19,45.366001
8/20/19,45.172001
8/21/19,44.166
8/22/19,44.43
8/23/19,42.279999
8/26/19,43
8/27/19,42.816002
8/28/19,43.118
8/29/19,44.341999
8/30/19,45.122002
9/3/19,45.001999
9/4/19,44.136002
9/5/19,45.916
9/6/19,45.490002
9/9/19,46.358002
9/10/19,47.108002
9/11/19,49.419998
9/12/19,49.174
9/13/19,49.040001
9/16/19,48.562
9/17/19,48.958
9/18/19,48.698002
9/19/19,49.32
9/20/19,48.124001
9/23/19,48.245998
9/24/19,44.641998
9/25/19,45.740002
9/26/19,48.512001
9/27/19,48.425999
9/30/19,48.174
10/1/19,48.938
10/2/19,48.625999
10/3/19,46.605999
10/4/19,46.285999
10/7/19,47.543999
10/8/19,48.009998
10/9/19,48.905998
10/10/19,48.948002
10/11/19,49.577999
10/14/19,51.391998
10/15/19,51.577999
10/16/19,51.950001
10/17/19,52.394001
10/18/19,51.389999
10/21/19,50.700001
10/22/19,51.116001
10/23/19,50.936001
10/24/19,59.936001
10/25/19,65.625999
10/28/19,65.542
10/29/19,63.243999
10/30/19,63.001999
10/31/19,62.984001
11/1/19,62.661999
11/4/19,63.493999
11/5/19,63.444
11/6/19,65.316002
11/7/19,67.108002
11/8/19,67.428001
11/11/19,69.017998
11/12/19,69.986
11/13/19,69.222
11/14/19,69.870003
11/15/19,70.433998
11/18/19,69.998001
11/19/19,71.903999
11/20/19,70.444
11/21/19,70.966003
11/22/19,66.608002
11/25/19,67.267998
11/26/19,65.783997
11/27/19,66.258003
11/29/19,65.987999
12/2/19,66.973999
12/3/19,67.239998
12/4/19,66.606003
12/5/19,66.073997
12/6/19,67.178001
12/9/19,67.905998
12/10/19,69.767998
12/11/19,70.540001
12/12/19,71.935997
12/13/19,71.678001
12/16/19,76.300003
12/17/19,75.797997
12/18/19,78.629997
12/19/19,80.807999
12/20/19,81.117996
12/23/19,83.844002
12/24/19,85.050003
12/26/19,86.188004
12/27/19,86.075996
12/30/19,82.940002
12/31/19,83.666
1/2/20,86.052002
1/3/20,88.601997
1/6/20,90.307999
1/7/20,93.811996
1/8/20,98.428001
1/9/20,96.267998
1/10/20,95.629997
1/13/20,104.972
1/14/20,107.584
1/15/20,103.699997
1/16/20,102.697998
1/17/20,102.099998
1/21/20,109.440002
1/22/20,113.912003
1/23/20,114.440002
1/24/20,112.963997
1/27/20,111.603996
1/28/20,113.379997
1/29/20,116.197998
1/30/20,128.162003
1/31/20,130.113998
2/3/20,156
2/4/20,177.412003
2/5/20,146.940002
2/6/20,149.792007
2/7/20,149.613998
2/10/20,154.255997
2/11/20,154.876007
2/12/20,153.457993
2/13/20,160.800003
2/14/20,160.005997
2/18/20,171.679993
2/19/20,183.483994
2/20/20,179.882004
2/21/20,180.199997
2/24/20,166.757996
2/25/20,159.981995
2/26/20,155.759995
2/27/20,135.800003
2/28/20,133.598007
3/2/20,148.723999
3/3/20,149.102005
3/4/20,149.899994
3/5/20,144.908005
3/6/20,140.695999
3/9/20,121.599998
3/10/20,129.065994
3/11/20,126.846001
3/12/20,112.110001
3/13/20,109.323997
3/16/20,89.014
3/17/20,86.040001
3/18/20,72.244003
3/19/20,85.528
3/20/20,85.505997
3/23/20,86.858002
3/24/20,101
3/25/20,107.849998
3/26/20,105.632004
3/27/20,102.872002
3/30/20,100.426003
3/31/20,104.800003
4/1/20,96.311996
4/2/20,90.893997
4/3/20,96.001999
4/6/20,103.248001
4/7/20,109.089996
4/8/20,109.767998
4/9/20,114.599998
4/13/20,130.190002
4/14/20,141.977997
4/15/20,145.966003
4/16/20,149.042007
4/17/20,150.778
4/20/20,149.272003
4/21/20,137.343994
4/22/20,146.421997
4/23/20,141.126007
4/24/20,145.029999
4/27/20,159.75
4/28/20,153.824005
4/29/20,160.102005
4/30/20,156.376007
5/1/20,140.264008
5/4/20,152.238007
5/5/20,153.641998
5/6/20,156.516006
5/7/20,156.007996
5/8/20,163.884003
5/11/20,162.257996
5/12/20,161.882004
5/13/20,158.192001
5/14/20,160.666
5/15/20,159.834
5/18/20,162.725998
5/19/20,161.602005
5/20/20,163.112
5/21/20,165.520004
5/22/20,163.376007
5/26/20,163.774002
5/27/20,164.046005
5/28/20,161.162003
5/29/20,167
6/1/20,179.619995
6/2/20,176.311996
6/3/20,176.591995
6/4/20,172.876007
6/5/20,177.132004
6/8/20,189.983994
6/9/20,188.134003
6/10/20,205.009995
6/11/20,194.567993
6/12/20,187.056
6/15/20,198.179993
6/16/20,196.425995
6/17/20,198.358002
6/18/20,200.792007
6/19/20,200.179993
6/22/20,198.863998
6/23/20,200.356003
6/24/20,192.169998
6/25/20,197.195999
6/26/20,191.947998
6/29/20,201.869995
6/30/20,215.962006
7/1/20,223.925995
7/2/20,241.731995
7/6/20,274.31601
7/7/20,277.971985
7/8/20,273.175995
7/9/20,278.855988
7/10/20,308.929993
7/13/20,299.411987
7/14/20,303.359985
7/15/20,309.201996
7/16/20,300.127991
7/17/20,300.167999
7/20/20,328.600006
7/21/20,313.671997
7/22/20,318.466003
7/23/20,302.614014
7/24/20,283.399994
7/27/20,307.920013
7/28/20,295.298004
7/29/20,299.821991
7/30/20,297.497986
7/31/20,286.152008
8/3/20,297
8/4/20,297.399994
8/5/20,297.003998
8/6/20,297.915985
8/7/20,290.541992
8/10/20,283.713989
8/11/20,274.877991
8/12/20,310.951996
8/13/20,324.200012
8/14/20,330.141998
8/17/20,367.127991
8/18/20,377.417999
8/19/20,375.705994
8/20/20,400.365997
8/21/20,409.996002
8/24/20,402.839996
8/25/20,404.667999
8/26/20,430.634003
8/27/20,447.75
8/28/20,442.679993
8/31/20,498.320007
9/1/20,475.049988
9/2/20,447.369995
9/3/20,407
9/4/20,418.320007
9/8/20,330.209991
9/9/20,366.279999
9/10/20,371.339996
9/11/20,372.720001
9/14/20,419.619995
9/15/20,449.76001
9/16/20,441.76001
9/17/20,423.429993
9/18/20,442.149994
9/21/20,449.390015
9/22/20,424.230011
9/23/20,380.359985
9/24/20,387.790009
9/25/20,407.339996
9/28/20,421.200012
9/29/20,419.070007
9/30/20,429.01001
10/1/20,448.160004
10/2/20,415.089996
10/5/20,425.679993
10/6/20,413.980011
10/7/20,425.299988
10/8/20,425.920013
10/9/20,434
10/12/20,442.299988
10/13/20,446.649994
10/14/20,461.299988
10/15/20,448.880005
10/16/20,439.670013
10/19/20,430.829987
10/20/20,421.940002
10/21/20,422.640015
10/22/20,425.790009
10/23/20,420.630005
10/26/20,420.279999
10/27/20,424.679993
10/28/20,406.019989
10/29/20,410.829987
10/30/20,388.040009
11/2/20,400.51001
11/3/20,423.899994
11/4/20,420.980011
11/5/20,438.089996
11/6/20,429.950012
11/9/20,421.26001
11/10/20,410.359985
11/11/20,417.130005
11/12/20,411.76001
11/13/20,408.5
11/16/20,408.089996
11/17/20,441.609985
11/18/20,486.640015
11/19/20,499.269989
11/20/20,489.609985
11/23/20,521.849976
11/24/20,555.380005
11/25/20,574
11/27/20,585.76001
11/30/20,567.599976
12/1/20,584.76001
12/2/20,568.820007
12/3/20,593.380005
12/4/20,599.039978
12/7/20,641.76001
12/8/20,649.880005
12/9/20,604.47998
12/10/20,627.070007
12/11/20,609.98999
12/14/20,639.830017
12/15/20,633.25
12/16/20,622.77002
12/17/20,655.900024
12/18/20,695
12/21/20,649.859985
12/22/20,640.340027
12/23/20,645.97998
12/24/20,661.77002
12/28/20,663.690002
12/29/20,665.98999
12/30/20,694.780029
12/31/20,705.669983
1/4/21,729.77002
1/5/21,735.109985
1/6/21,755.97998
1/7/21,816.039978
1/8/21,880.02002
1/11/21,811.190002
1/12/21,849.440002
1/13/21,854.409973
1/14/21,845
1/15/21,826.159973
1/19/21,844.549988
1/20/21,850.450012
1/21/21,844.98999
1/22/21,846.640015
1/25/21,880.799988
1/26/21,883.090027
1/27/21,864.159973
1/28/21,835.429993
1/29/21,793.530029
2/1/21,839.809998
2/2/21,872.789978
2/3/21,854.690002
2/4/21,849.98999
2/5/21,852.22998
2/8/21,863.419983
2/9/21,849.460022
2/10/21,804.820007
2/11/21,811.659973
2/12/21,816.119995
2/16/21,796.219971
2/17/21,798.150024
2/18/21,787.380005
2/19/21,781.299988
2/22/21,714.5
2/23/21,698.840027
2/24/21,742.02002
2/25/21,682.219971
2/26/21,675.5
3/1/21,718.429993
3/2/21,686.440002
3/3/21,653.200012
3/4/21,621.440002
3/5/21,597.950012
3/8/21,563
3/9/21,673.580017
3/10/21,668.059998
3/11/21,699.599976
3/12/21,693.72998
3/15/21,707.940002
3/16/21,676.880005
3/17/21,701.809998
3/18/21,653.159973
3/19/21,654.869995
3/22/21,670
3/23/21,662.159973
3/24/21,630.27002
3/25/21,640.390015
3/26/21,618.710022
3/29/21,611.289978
3/30/21,635.619995
3/31/21,667.929993
4/1/21,661.75
4/5/21,691.049988
4/6/21,691.619995
4/7/21,670.969971
4/8/21,683.799988
4/9/21,677.02002
4/12/21,701.97998
4/13/21,762.320007
4/14/21,732.22998
4/15/21,738.849976
4/16/21,739.780029
4/19/21,714.630005
4/20/21,718.98999
4/21/21,744.119995
4/22/21,719.690002
4/23/21,729.400024
4/26/21,738.200012
4/27/21,704.73999
4/28/21,694.400024
4/29/21,677
4/30/21,709.440002
5/3/21,684.900024
5/4/21,673.599976
5/5/21,670.940002
5/6/21,663.539978
5/7/21,672.369995
5/10/21,629.039978
5/11/21,617.200012
5/12/21,589.890015
5/13/21,571.690002
5/14/21,589.73999
5/17/21,576.830017
5/18/21,577.869995
5/19/21,563.460022
5/20/21,586.780029
5/21/21,580.880005
5/24/21,606.440002
5/25/21,604.690002
5/26/21,619.130005
5/27/21,630.849976
5/28/21,625.219971
6/1/21,623.900024
